ID,Comment Text,Translated
1637,"<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=2400"">40:00</a> 영상 안보냐 저렇게 절박하게 시간만 주면 다 갚겠다고 말했는데도 내용증빙서 보내면서 어린여자애를 사지로 내몬게 김수현이다","<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=2400"">40:00</a> Không xem video à? Người ta khẩn thiết nói chỉ cần cho thời gian sẽ trả hết mà vẫn gửi chứng nhận nội dung, đẩy con bé còn trẻ vào chỗ chết là Kim Soo Hyun đó.
"
1638,"소속사에서 무보수로 연기 지도하고 비주얼디렉팅 일을 해왔다잖아. 그 이후에 음주운전 사고가 났는데 소속사에서 갚아줬고. 김새론이 갚아 달라고 하지도 않았는데. 자기가 소속사에서 일을 한 것이 있으니 갚아주었구나 라고 생각을 했다잖아.<br>근데 계약 끝나고 나서 갑자기 내용증명 보내면서 칠억을 갚으라고 했고. 처음부터 김새론 손에있는 빚이였으면 모르는데, 실제로 사귀었고 그런 관계가 엮여있는 데 뻔히 김새론 상황 알면서, 활동도 못하고 생활고로 힘들어하는 애한테 돈 갚으라고 내용증명 보내는 게 정상이냐?","Nghe nói là con bé đã làm việc không lương như là chỉ đạo diễn xuất và đạo diễn hình ảnh cho công ty quản lý. Sau đó thì gây ra tai nạn lái xe khi say rượu, công ty quản lý đã trả tiền bồi thường. Mà Kim Sae Ron còn không bảo trả đâu. Con bé đã nghĩ là do mình làm việc cho công ty nên họ mới trả giúp.
Vậy mà sau khi hết hợp đồng, tự nhiên gửi thông báo đòi trả 700 triệu won. Nếu như từ đầu khoản nợ đó là của Kim Sae Ron thì không nói, đằng này rõ ràng là đã từng hẹn hò, có quan hệ với nhau, biết rõ hoàn cảnh của Kim Sae Ron, con bé không thể hoạt động được, cuộc sống khó khăn, vậy mà lại gửi thông báo đòi tiền, có bình thường không vậy?
"
1639,"저는 김수현씨의 오랜 팬이자 아이엄마인데요. 만약에 내 딸이 이런 일을 당했다? 배우고뭐고 다 찢어발겨야죠. 이런게 묻히는 세상이라면 우리가 애들을 어떻게 키우죠? 예전에 김수현 영화찍고 설리를 대하던 태도나, 말투에서 예의가 너무 없다고 느꼈었는데, 장례식도 안가는건 사람이라면 그러면 안되죠. 새론씨 부모님은 이제 그냥 껍데기로 사는거에요. 김수현씨 사실이면 다 몇배로 돌려받을거에요.","Tôi là một người hâm mộ lâu năm và là một người mẹ. Nếu con gái tôi mà gặp phải chuyện như thế này á? Thì diễn viên hay cái gì tôi cũng xé hết. Nếu mà chuyện này bị chôn vùi thì chúng ta nuôi dạy con cái kiểu gì đây? Hồi xưa xem Kim Soo Hyun đóng phim xong đối xử với Sulli với cả cái 말투 (cách nói chuyện) của cậu ta, tôi đã thấy là không có lễ phép rồi. Đến đám tang cũng không đi thì không phải là việc mà một người nên làm. Bố mẹ của Sae Ron chắc giờ chỉ sống như cái xác không hồn thôi. Nếu mà Kim Soo Hyun mà là thật thì sẽ phải trả giá gấp mấy lần đấy.
"
1640,저도 김수현 오랜 팬인데 이거.. 진짜 사람세퀴가 아닙니다 이건 사탄도 울고갈 일이에요..,Tôi cũng là fan lâu năm của Kim Soo Hyun nhưng mà...cái này đúng là không phải người nữa rồi. Cái này đến quỷ Satan cũng phải khóc thét đó.
1641,그루밍성범죄 라고 해야하나요?안타깝네요.,"Có phải gọi là tội phạm tình dục Grooming không? Thật đáng tiếc.
"
1642,고영욱의 뒤를이을 소아성애 연예인,Nghệ sĩ ấu dâm tiếp bước Go Young Wook
1643,탄핵 반대 하는거 봐도 이상한 사람이네 .,"Nhìn việc phản đối luận tội là biết người kỳ lạ rồi.
"
1644,선동허위 보도질 잘만 해대는 mbc.jtbc도 있는데여 뭘..,"MBC, JTBC chuyên đưa tin sai lệch, kích động dư luận đầy ra đấy thì nhằm nhò gì."
1645,탄핵 반대하는게 왜 이상한 사람이죠?,"Tại sao việc phản đối luận tội lại là người kỳ lạ?
"
1646,탄핵반대가 정상이지 ㅡ간첩이신가,"Việc phản đối luận tội là bình thường, hay là gián điệp đấy?
"
1647,서명 했어요,"Tôi đã ký rồi.
"
1648,Need indonesian subtitle 🥲,"Cần phụ đề tiếng Indonesia 🥲
"
1649,저건 인간도 아님 7억을 소송걸어서 사람을 죽음으로까지 몰아감,"Loại đó không phải là người, kiện tụng đòi 700 triệu won đẩy người ta đến chỗ chết.
"
1650,소아성애자 징그럽다 빨리 거세나해라 우웨에에에에엑,Ghê tởm bọn ấu dâm. Mau chóng thiến hết chúng đi. Ọe Ọe Ọe Ọe
1651,김수현이10년전에 중국에서  1시간 예능에 10억밨음,"10 năm trước, Kim Soo-hyun đã nhận 1 tỷ won cho 1 tiếng tham gia chương trình giải trí ở Trung Quốc.
"
1652,돈이 돈 같지가 않았겠구나ㅋㅋ,"Chắc hẳn là không thấy tiền ra tiền gì nhỉ ㅋㅋ
"
1653,화장이 그 화장이 아니였노 ㅋㅋ,"Hóa trang không phải là hóa trang đó ㅋㅋ
"
1654,김수현도 죽으면 어떻게 할려고 하냐,Rồi Kim Soo-hyun chết thì tính sao?
1655,그럼 쎔쎄미  되는거지,"Vậy là huề vốn rồi.
"
1656,ㅋㅋㅋ 김새론 죽고 파티 가서 신나게 놀았던 놈이 죽겠냐... 원래 죽는 것도 마음 약하고 착한 애들이 죽는거야...,"ㅋㅋㅋ Thằng nhóc say xỉn mở tiệc sau khi Kim Sae Ron gây tai nạn giao thông mà chết chắc... Mấy đứa yếu đuối với tốt bụng mới chết thôi...
"
1657,개이득보는겨 ㅎㅎ,"Kiếm được món hời lớn rồi ㅋㅋ
"
1658,15살이면 만으로 14세다 외국인들한테 새론이 14세였다고 알려야됨,"Phải thông báo với người nước ngoài rằng Sae-ron 15 tuổi là 14 tuổi theo cách tính quốc tế.
"
1659,헝다 회사..망했는데<br>회장은 빵에갓고😂<br>수혀니가 모델인회사는 다망하는군😂,"Công ty Hằng Đại phá sản rồi...<br>Chủ tịch thì vào tù<br>Có vẻ như công ty nào Suhyun làm người mẫu đều thất bại hết.
"
1660,불쌈한 새론양   어찌  한을 풀까,Không ngờ tới Kim Sae Ron. Làm sao để giải tỏa nỗi hận này đây.
1661,"미성년자 의제강간법은 각 나라마다 있는법이고 실제 범죄임. 청소년끼리 사귈순 있어도 나이차이나는 성인+청소년은 범죄로 간주됩니다. “헌법재판소는 19세 이상의 사람이 13세 이상 16세 미만인 사람을 상대로 성행위를 한 경우, 설령 그것이 피해자의 동의에 의한 것이라 하더라도, 강간죄, 유사강간죄 또는 강제추행죄의 예에 따라 처벌하도록 판단하였다.”","Luật cưỡng hiếp trẻ vị thành niên là luật có ở mỗi quốc gia và là một tội ác thực sự. Thanh thiếu niên có thể hẹn hò với nhau, nhưng người lớn + thanh thiếu niên có khoảng cách tuổi tác bị coi là tội phạm. ""Tòa án Hiến pháp phán quyết rằng nếu một người từ 19 tuổi trở lên có quan hệ tình dục với người từ 13 đến dưới 16 tuổi, thì người đó sẽ bị trừng phạt theo các tiền lệ về tội hiếp dâm, tội tương tự như hiếp dâm hoặc tội tấn công tình dục cưỡng bức, ngay cả khi có sự đồng ý của nạn nhân.""
"
1662,김수현이 악질인 이유~하루만 고생해서 cf같은거 찍으면 7억 벌면서 그걸 내용증명을 보내냐?? 애가 죽었는데 지는 예능 나와서 깔깔대고 인간이 아니라 악마임.,"Lý do Kim Soo Hyun là kẻ ác độc ~ Chỉ cần khổ sở một ngày đóng CF thôi đã kiếm được 700 triệu won rồi mà còn gửi thông báo nội dung (nội dung chứng minh) làm gì?? Người ta mất con mà hắn ta thì lại lên show giải trí cười ha hả, không phải là người mà là ác ma.
"
1663,물론 음주운전 잘못이긴한데 무슨 사람이라도 친것마냥 너무 욕하더라..집단 광기였음..😢 똑같이 음주운전한 슈가 곽도원이나 논란있는 오달수 탑 주지훈같은 남자들은 다 복귀했던데..심지어 이 남자연예인들이 음주운전한것조차 모르는 사람들이 수두룩함,"Đương nhiên là lái xe khi say rượu là sai, nhưng mọi người chửi bới cô ấy như thể cô ấy đã đâm phải ai đó vậy... Thật là một sự cuồng loạn tập thể. Những người đàn ông như Suga, Kwak Do-won, Oh Dal-su, T.O.P, Joo Ji-hoon, những người cũng lái xe khi say rượu, đều đã trở lại... Thậm chí, có vô số người không biết rằng những nghệ sĩ nam này đã lái xe khi say rượu.
"
1664,정신 이상있음? ;;;  탑은 음주운전 자체를 한적이 없는데 왜 물타기 선동함? ㅋㅋㅋㅋ ㅉ ㅉ 한심 여초커뮤 끊어라... 살 좀 빼고,"Có vấn đề về thần kinh à? ;; Đỉnh (T.O.P) chưa từng lái xe khi say rượu, sao lại lèo lái, kích động thế? ㅋㅋㅋ ㅉ ㅉ Thật đáng thương. Bớt mấy cái diễn đàn nữ vớ vẩn đi... Giảm cân đi.
"
1665,그렇다고 음주운전을 옹호하네 사람 안치면 착한 음주운전이냐? 그리고 음주운전 저때 인생에서 처음하다가 사고 난거야? 몇번이나 했을꺼 아니야 ㅋㅋ 쳐박고 도주에 음주측정 거부까지 했는데ㅋㅋ,"Vậy là bênh vực lái xe khi say rượu à? Không đâm người thì là lái xe khi say rượu tốt bụng à? Và lái xe khi say rượu rồi gây tai nạn là lần đầu tiên trong đời à? Chắc chắn là đã làm mấy lần rồi chứ gì ㅋㅋ Đâm rồi bỏ chạy xong còn từ chối đo nồng độ cồn nữa chứ ㅋㅋ
"
1666,짜증나,"Bực mình thật.
"
1667,악플이아니라 김수현이 사지로 몰았구나..<br>와...... 어린애를 실컷 데리고 놀고 달란적도 없는 돈을 지가 주고선 갚으라고 저 지랄을 한거여???,"Không phải do antifan mà là do Kim Soo Hyun dồn người ta vào đường cùng...<br>Chà...... tha hồ dắt trẻ con ra chơi, tiền thì người ta không đòi mà tự đưa cho xong giờ lại giở trò bắt trả là sao???"
1668,죽을때까지 돈들고갈수있을것같냐?.. ㅋㅋㅋ참 인간은 실수를 반복한다..,"Đến lúc chết có mang tiền theo được không mà còn nói thế? ㅋㅋㅋ Con người đúng là hay mắc sai lầm.
"
1669,김수현 빨리 해명 해라,Kim Soo Hyun mau chóng giải thích đi.
1670,악플달던 악플러들이 니들도 똑같애,Mấy đứa hay đi comment dạo cũng có khác gì đâu.
1671,진짜 그많은돈 다 펑펑써도 또 한달만에 또 벌텐데..😢 정말 슬프다…,"Thật sự là dù có tiêu hết đống tiền đó thì một tháng sau lại kiếm được thôi... Thật buồn...
"
1672,와..김새론 ㅜㅜ,"Wow... Kim Sae Ron ㅜㅜ
"
1673,얼굴하나 믿고 나대는것들의 최후를 너는 경험할 것이다.무엇이 제일 소중한것인지도 알것같진않지만 그래도 생각좀 하고 살자.중국수현아.,"Rồi mày sẽ được nếm trải cái kết của những đứa chỉ biết dựa vào mặt mà sống thôi. Tao không nghĩ mày biết cái gì là quý giá nhất đâu, nhưng mà thôi thì sống biết suy nghĩ một chút đi. Mấy con Suhyun (Thu Hiền) Trung Quốc ạ."
1674,김수현 광고브랜드들은 위약금 물려라 아동성착취범이 나온 제품 사기싫다,"Yêu cầu các nhãn hàng quảng cáo của Kim Soo Hyun đòi tiền bồi thường vi phạm hợp đồng đi. Tôi không muốn mua sản phẩm có hình ảnh của tội phạm ấu dâm.
"
1675,중국스타터는 김에 화교 연예인들 싹 다 짚어주세요~ 아이돌배우 등등,"Hãy chỉ ra hết tất cả những nghệ sĩ Hoa kiều của làng giải trí Trung Quốc cho tôi, từ thần tượng đến diễn viên.
"
1676,마친 놈,"Điên à.
"
1677,김수현 무서운사람이었네. . .,"Kim Soo Hyun là một người đáng sợ. . .
"
1678,문자가 너무 마음이<br>아파요…,"Tin nhắn làm tôi đau lòng quá...
"
1679,"<a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=1871"">31:11</a> 흥미롭군 김수현도 나락 가는건가<br><a href=""https://www.youtube.com/watch?v=wO1VjpwVS3E&amp;t=2498"">41:38</a> 친한사이라서 볼뽀뽀 한다라고 보기엔 다소 무리가 있는데 ????","31:11 Thú vị đấy, Kim Soo Hyun cũng xuống dốc à.
41:38 Khó mà coi đó là hôn má vì thân thiết được, hơi quá rồi thì phải????
"
1680,김수현빠순빠돌이들 저것도 ‘친한지인’끼리 찍을수있는 사진이라고 쉴드 칠려나..?,"Fan cuồng Kim Soo Hyun định biện hộ rằng đến cả cái đó cũng là ảnh mà ""người quen thân thiết"" có thể chụp được chắc?"
1681,나락가자...,"Đi xuống địa ngục thôi...
"
1682,김수현 어떻하냐 원빈이 찾아갈 거 같은데,"Không biết Kim Soo-hyun phải làm sao đây, có cảm giác Won Bin sẽ đến tìm cậu ấy mất."
1683,김수현도 나쁘지만 결국 김새론씨가 제일 불쌍하네요..<br>15살부터 김수현이랑 사겼다는데 미성년자가 남자사귀는데 그당시 몰랐을일도 없고 그냥 나뒀다는것도 이해는 안되네요~~같은 엄마로써 김새론은 어른들이 지켜주질 않았네요.안타깝네요.,"Kim Soo Hyun cũng tệ, nhưng cuối cùng thì Kim Sae Ron đáng thương nhất... Nghe nói hẹn hò với Kim Soo Hyun từ năm 15 tuổi, việc trẻ vị thành niên hẹn hò với đàn ông, không thể nào không biết vào thời điểm đó mà cứ để vậy cũng khó hiểu. Với tư cách là một người mẹ, Kim Sae Ron đã không được người lớn bảo vệ. Thật đáng tiếc.
"
1684,𝙾 𝚖 𝚊 𝚐 𝚊 𝚊 𝚊 ! ! ! 😱,"Ôi trời ơi!!!
"
1685,900억이나 버는 인간이 찌질하다 찌질해 7억을 아이고,"Người kiếm được 90 tỷ mà keo kiệt, keo kiệt quá, có 700 triệu mà than vãn"
1686,"김소현 씨, 아프세요? 소현아, 너 정말 미쳤구나.","Kim So Hyun, bạn ốm à? So Hyun à, bạn điên thật rồi.
"
1687,Kim saeron😢,"Kim Sae Ron
"
1688,"그런데, 이 사건과 별개로, 나는 애초에 김수현 잘생겼다고 생각들지 않던데 희안하게 왜케들 좋아하는지 모르겠네. 솔직히 김수현보다 내가 더 잘생긴듯.","Nhưng mà, không liên quan đến vụ này, từ đầu tôi đã không thấy Kim Soo Hyun đẹp trai rồi, không hiểu sao mọi người lại thích cậu ta đến vậy. Thật lòng mà nói, hình như tôi còn đẹp trai hơn Kim Soo Hyun ấy chứ."
1689,안봤지만 니가 백배 잘생겼다에  백퍼공감,"Chưa xem nhưng tôi hoàn toàn đồng ý rằng bạn đẹp trai hơn gấp trăm lần.
"
1690,증거 있어요?,"Bạn có bằng chứng không?
"
1691,@kirum-w7q  웃자고 한말에 다큐찍냐?,Đùa thôi mà cũng làm quá lên thế?
1692,@@kirum-w7q 아님 말고  <del>손석희</del>,"Không thì thôi.
"
1693,@@Got79-77 나도 농담인데 ㅡㅡ,"Tôi cũng chỉ đùa thôi ㅡㅡ
"
1694,Omg whats going on in Korea..,"Ôi trời chuyện gì đang xảy ra ở Hàn Quốc vậy..
"
1695,어이가 없는<br>양심 좀 챙겨라,"Cạn lời.
Ít ra thì cũng phải có chút lương tâm chứ."
1696,그런데...왜 가족분들은 그 어린 아이가 아저씨랑 사귀고 있다는걸 알면서도 말리지 않았을까요? 너무 안타깝네요...,"Nhưng... tại sao gia đình lại không ngăn cản khi biết đứa trẻ đó đang hẹn hò với chú vậy? Thật đáng tiếc...
"
1697,"Bueno, aqui la comunidad hispanohablante haciendose presente como buena fan.<br>La verdad es que si ha sido turbio todo lo de Kim Soo Hyun, mas aun que lei la actividad q tomó después de la muerte de Kim Sae Ron, ir a una fiesta como si nada... La conocia y hasta se tomaban fotos juntos, es notorio que hubo una relación allí. Me siento decepcionada por este actor, espero que salga la verdad pronto y se haga justicia","Chào mọi người, cộng đồng nói tiếng Tây Ban Nha xin chào với tư cách là một người hâm mộ tốt.<br>Sự thật là mọi chuyện về Kim Soo Hyun thật sự rất hỗn loạn, hơn nữa tôi còn đọc được những hành động của anh ấy sau cái chết của Kim Sae Ron, đến một bữa tiệc như thể không có chuyện gì xảy ra... Anh ấy biết cô ấy và thậm chí còn chụp ảnh cùng nhau, rõ ràng là có một mối quan hệ ở đó. Tôi cảm thấy thất vọng về diễn viên này, hy vọng sự thật sẽ sớm được đưa ra ánh sáng và công lý sẽ được thực thi.
"
1698,얼마전에 아는 지인이 촬영 현장에서 인성질 아무렇지도 않게 하는데 논란 안떠서 이미지메이킹 잘했다고 그렇게 얘기했는데 바로 이렇게 떠버리네. 죄짓고 살면 돌아오는게 이런거구나.,"Mới gần đây thôi, người quen của tôi còn bảo là cái người mà cư xử tồi tệ ở phim trường một cách thản nhiên ấy, không hề bị dính scandal gì, đúng là biết cách xây dựng hình tượng. Quả báo đến nhanh thật, sống mà cứ làm điều xấu thì sẽ có ngày bị như này.
"
1699,a-마이너 ~~~~~~~~,a thứ
1700,가세연 최고 입니다👍👍👍,Tuyệt vời Gaseyeon
1701,👍👍👍👍👍,
1702,"김수현은 지금도 반성은 커녕 혼자 열불내고 있을 듯,,<br>이 모든 게 지 탓이라고는 생각 안 하고 새론이 탓이라고 자기합리화하겠지.. 열 받는다","Chắc Kim Soo Hyun giờ này không những không hề hối hận mà còn đang tức tối một mình ấy chứ. Chắc chắn anh ta sẽ không nghĩ tất cả là do mình mà sẽ tự hợp lý hóa rằng là do Sae Ron thôi... Bực thật.
"
1703,Bởi vậy con bé mới chọn ra đi vào ngày sinh nhật của hắn.,"Bởi vậy con bé mới chọn ra đi vào ngày sinh nhật của hắn.
"
1704,"참 맘이아리다. 어릴때 연기밭으로뛰어들어 벌어들인돈은 부모님이 다쓰고, 음주운전한것은 잘못한게맞지만 모든사람들이 등지듯 비난했고. 더한사람들도 연예계생활하고있는데. 이아이를 보듬어주는 어른이 없었고. 그래도 돈벌겠다고 아르바이트하는애를 보여주기식이다 등으로 또 비난했고.  과연 이아이에게 기댈 곳이있었을까?","Thật đau lòng. Khi còn nhỏ, cậu ấy đã lăn xả vào làng giải trí kiếm tiền, nhưng bố mẹ lại tiêu hết. Việc lái xe khi say xỉn là sai, nhưng tất cả mọi người đều quay lưng lại và chỉ trích cậu ấy. Trong giới giải trí, những người còn tệ hơn cậu ấy vẫn sống tốt. Không có người lớn nào che chở cho cậu ấy. Dù vậy, cậu ấy vẫn làm thêm để kiếm tiền, nhưng lại bị chỉ trích là làm màu. Liệu cậu ấy có nơi nào để nương tựa không?
"
1705,돈도 많은 놈이 좀 제대로 도와주지 그랬냐ㅡㅡ,"Đồ lắm tiền mà không giúp cho tử tế. ㅡㅡ
"
1706,아저씨의 김새론... 김수현이가 죽였네요...ㅜㅜ,"Chú à, Kim Sae Ron... Kim Soo Hyun giết rồi... ㅜㅜ
"
1707,김새론 죽기전에 악성보도 클릭장사한 osen 댓글 다 막혀있는거봐라 😂,"Xem kìa, Osen chặn hết bình luận rồi, trang này từng câu view bằng cách đưa tin ác ý về Kim Sae Ron trước khi cô ấy suýt chết.
"
1708,Malas banget gak ada english translate nya,"Chán quá, không có bản dịch tiếng Anh.
"
1709,해외 였으면 진작 재판 열리고 매장 당했을텐데 미성년자 성관계 아청법 ㅈㄴ 강해서,"Nếu ở nước ngoài thì chắc chắn đã mở phiên tòa và bị chôn vùi rồi, luật pháp vị thành niên quan hệ tình dục với trẻ vị thành niên rất mạnh."
1710,@@하하호호-g5s 법으로 하면… 이제 미국 못감.  아동 성 범죄자는 입국금지임 .,"Nếu làm theo luật... thì giờ không thể đến Mỹ được nữa. Tội phạm ấu dâm bị cấm nhập cảnh.
"
1711,김수현스케일에는 그건아님,"Không phải tầm cỡ của Kim Soo Hyun.
"
1712,새론양 숨겨졌던 환경이 마음이 너무 아프네요... ㅠ 하늘에선 부디<br>모든 짐 내려놓고 행복하셨음 해요,"Thật đau lòng khi biết về hoàn cảnh khó khăn mà Saeron đã phải trải qua... ㅠ Mong bạn ở trên trời sẽ trút bỏ mọi gánh nặng và hạnh phúc.
"
1713,Subtitulos en español por favor,"Vui lòng cho thêm phụ đề tiếng Tây Ban Nha.
"
1714,김수현 의제 강간으로 구속해야됨,"Cần bắt giam Kim Soo Hyun vì tội cưỡng hiếp có chủ mưu.
"
1715,김수현 광고 한건 찍으면 버는 돈인데...<br>김새론은 6년 사귄 첫남친에게 살려달라고 <br>애원했을때 얼마나 비참했을지...<br>참 모질고 독하다,"Số tiền Kim Soo-hyun kiếm được khi quay một quảng cáo...<br>Kim Sae-ron đã tuyệt vọng cầu xin bạn trai đầu tiên mà cô hẹn hò 6 năm cứu mình. Cô ấy đã khốn khổ đến mức nào...<br>Thật tàn nhẫn và độc ác.
"
1716,진짜 .. 살려달라 진심이였는데..  좀 숨쉬게  답변좀 해주고   재기하면  천천히 돈받아도 되지.. 1년에 몇백억을 버는 놈이 ㅠㅠ,"Thật sự là... đã xin cứu giúp bằng cả tấm lòng mà... Làm ơn cho thở một chút rồi trả lời đi chứ, cho người ta gây dựng lại rồi từ từ nhận lại tiền cũng được mà... Một thằng kiếm cả trăm tỷ mỗi năm cơ mà ㅠㅠ
"
1717,사이코지만 괜찮아는<br>진짜 희대의 드라마네ㅋㅋ,Điên thì có sao đúng là bộ phim truyền hình để đời ㅋㅋ
1718,사이코가 사이코 드라마에 출연 😂,Kẻ tâm thần đóng phim драмы tâm thần
1719,사이코 2명ㅋㅋ,"Hai thằng điên ㅋㅋ
"
1720,@@qkdqk 사이코2명아님 남주 여주,"@ Không phải 2 người tâm thần, mà là nam chính và nữ chính"
1721,진호야 너 잘 살고있지?,"Jin-ho à, em sống tốt chứ?
"
1722,얼마나 한이 맺혓음 생일날 갔을까,"Hận nhiều đến mức nào mà lại đi vào đúng ngày sinh nhật chứ.
"
1723,와...  사이코패스 아니야?,"Wow... Không phải là kẻ tâm thần à?
"
1724,새론아 가여워서 어떡하냐  <br>이런 고통과 시련을 겪고 <br>짧은 인생을 끝으로 시린 한을 가슴에 품고 놓아버렸구나 <br>하늘이 알고 땅이 알고 이제 <br>우리 모두가 알게 되었다 <br>부디 편히 영면하길,"Sae Ron à, thương em quá phải làm sao đây.
Trải qua bao đau khổ và thử thách như vậy.
Đoạn kết của cuộc đời ngắn ngủi với nỗi hận lạnh lẽo trong tim.
Trời biết đất biết, giờ thì tất cả chúng ta đều biết rồi.
Mong em yên nghỉ."
1725,모든게 다 밝혀졌으니 그곳에선 부디 편히 쉬시길 너무 고생많으셨어요..,"Mọi chuyện đã sáng tỏ rồi, mong bạn yên nghỉ nơi đó. Bạn đã vất vả nhiều rồi...
"
1726,진짜 김수현 모~든 면에서 시진핑을 닮았네요. 김새론 너무 불쌍하네요. 범죄에 노출된거??ㅠㅠ<br><br> 그리고 동북아공정에 참여한 전지현 김수현 둘다 기억하겠습니다. 불매하고 드라마 다시는 보지않겠습니다.,"Kim Soo Hyun thực sự giống Tập Cận Bình về mọi mặt. Kim Sae Ron đáng thương quá. Bị phơi bày ra tội phạm ư?? ㅠㅠ

Và tôi sẽ nhớ cả Jun Ji Hyun và Kim Soo Hyun, những người đã tham gia vào dự án Đông Bắc Á. Tôi sẽ tẩy chay và không bao giờ xem lại phim truyền hình của họ."
1727,아 근데 가세연님 통화할때 말 너무 끊어먹으시는거같아요 .. 😢,Nhưng mà Gaseyeon ngắt lời người khác nhiều quá khi nói chuyện điện thoại thì phải...
1728,통화내용 편집하는거라 그렇게 들릴수있다구하셨어욥,"Ý là do chỉnh sửa nội dung cuộc gọi nên có thể nghe như vậy đó ạ.
"
1729,아 그런가요 제가 오해했네요 알려주셔서 감사합니다!,"À, vậy ạ, tôi đã hiểu nhầm. Cảm ơn bạn đã cho tôi biết!
"
1730,평생 등 뒤가 서늘하겠네 정말 대단하다 사람맞음?,"Chắc chắn sẽ thấy lạnh sống lưng cả đời. Thật là tuyệt vời, có phải là người không vậy?
"
1731,임마 이거 생각보다 변태에다가 저질이네 애들 가지고노네 사회적 지휘 이용해서 ㅉㅉㅉ 나락가라~,"Thằng này biến thái với cả đồi trụy hơn mình nghĩ đấy, đem trẻ con ra đùa giỡn, lợi dụng địa vị xã hội. Tạch đi là vừa~
"
1732,와 김새론 김수현 셀카유출 사진 올라올때 새론이만 욕 개처먹더니...<br>이게 이런이유였구나 김수현 개소름끼친다,"Lúc ảnh selca Kim Sae Ron Kim Soo Hyun bị lộ, chỉ có Sae Ron bị chửi sml... Thì ra là vì lý do này, Kim Soo Hyun ghê tởm vãi."
1733,고인 그렇게되고 가족들도 아무말 없었으면 그대로 쭉 아무일 없었다는듯 연예계 생활 했겠지. 이게 사패가 아니면 뭐가 사패란 말이냐?,"Nếu người đã khuất cứ thế ra đi, gia đình cũng không nói gì thì chắc hẳn hắn ta đã tiếp tục sống cuộc sống của người nổi tiếng như thể chưa từng có chuyện gì xảy ra. Nếu đây không phải là thái nhân cách thì cái gì mới là thái nhân cách chứ?
"
1734,김수현 저런인간 이었다니 개소름,"Ghê tởm, không ngờ Kim Soo Hyun lại là loại người như vậy."
1735,삼촌뻘이 오빠소리듣고 역겹다<br>새론양 너무 아깝고 안타깝다<br>ㄱㅅㅎ 천벌받겠다,"Thằng đáng tuổi chú mà được gọi là oppa nghe ghê tởm.
Tiếc nuối và xót xa cho Saeron quá.
Kim S.H. sẽ bị trời phạt."
1736,아저씨2는 김세의 가 주연,Chú à 2 do Kim Se-eui thủ vai chính
1737,15살을 20대 후반이 사귄거면 범죈데,"Nếu một người 15 tuổi hẹn hò với một người ở độ tuổi cuối 20 thì đó là phạm tội.
"
1738,장례식장 안온건 좀 티난다,Rõ ràng là chưa từng đi đám tang rồi.
1739,맘속으로 오해했습니다. 새론씨 하늘나라에서는 부디 아무걱정없이 행복했으면 좋겠습니다. 늦었지만 삼가고인의 명복을 빕니다,"Tôi đã hiểu lầm trong lòng. Mong chị Sae Ron ở trên thiên đường sẽ hạnh phúc mà không phải lo lắng gì. Dù muộn nhưng tôi xin thành kính phân ưu.
"
1740,와...할말이없다 둘다좋아햇던팬으로써....,"Wow... Không còn gì để nói. Với tư cách là một người hâm mộ đã thích cả hai người....
"
1741,새론이는 김수현이랑 연락안되니까 커플 사진올린거고.커플사진 올리면 자기한테 연락올까봐서..입장문은 공개할수도 있었는데  안하고 간거보면 마음은 여렸던거같음,Chắc là Sae Ron không liên lạc được với Kim Soo Hyun nên mới đăng ảnh đôi. Đăng ảnh đôi để xem người ta có liên lạc với mình không ấy mà... Chắc cô ấy cũng yếu lòng nên mới không công khai được thư xin lỗi.
1742,김수현 생일에 김새론의 ㅈㅅ로 생일때마다 마음 아파할 애면 애초에 15살과 연애? 7억 내용증명? 안하지.....   김수현은 죄책감을 못느끼는애임... 죽은사람만 불쌍한거.,"Nếu Kim Soo-hyun là người sẽ đau lòng mỗi dịp sinh nhật vì vụ tự sát của Kim Sae-ron, thì ngay từ đầu đã không hẹn hò với trẻ 15 tuổi? Không gửi giấy báo 700 triệu won?... Kim Soo-hyun là người không biết cảm thấy tội lỗi... Chỉ người chết là đáng thương thôi.
"
1743,사이코 아니면 소시오임 걍,"Chắc là hoặc là thái nhân cách, hoặc là người chống đối xã hội.
"
1744,@user-jr7jb6rp1p님 말도 맞는데 이게  결국 죽음까지 밀어낸건 김수현인거죠 ㅎㅎ,"Ý kiến của bạn cũng đúng, nhưng cuối cùng người đẩy cô ấy đến cái chết vẫn là Kim Soo Hyun. haha"
1745,@@요미-w7g 미성년자 연애는 의존적이어서 헤어졌다면 김새론이 얼마나 힘들었겠어요 소속사도 같은데 술로 버티다 저리 된거죠,"Việc hẹn hò ở tuổi vị thành niên mang tính lệ thuộc cao, nếu chia tay thì Kim Sae Ron hẳn đã rất khó khăn. Công ty quản lý cũng là cùng một chỗ, hẳn là đã chật vật với rượu rồi ra nông nỗi này.
"
